36.128.0.0	36.191.255.255	4194304
183.192.0.0	183.255.255.255	4194304
120.192.0.0	120.255.255.255	4194304
117.128.0.0	117.191.255.255	4194304
112.0.0.0	112.63.255.255	4194304
111.0.0.0	111.63.255.255	4194304
39.128.0.0	39.191.255.255	4194304
223.64.0.0	223.95.255.255	2097152
223.96.0.0	223.111.255.255	1048576
221.176.0.0	221.183.255.255	524288
223.120.0.0	223.127.255.255	524288
218.200.0.0	218.203.255.255	262144
211.136.0.0	211.139.255.255	262144
223.112.0.0	223.115.255.255	262144
211.140.0.0	211.141.255.255	131072
218.204.0.0	218.205.255.255	131072
218.206.0.0	218.207.255.255	131072
221.130.0.0	221.131.255.255	131072
223.116.0.0	223.117.255.255	131072
211.143.0.0	211.143.255.255	65536
211.103.0.0	211.103.127.255	32768
211.142.0.0	211.142.127.255	32768
211.142.128.0	211.142.255.255	32768
